,F1Score_class0,Recall_class0,Precision_class0,F1Score_class1,Recall_class1,Precision_class1
141,0.2593647316538883,0.27346216026842235,0.24664953822651206,0.9591747199626482,0.956456824061502,0.9619081063844387
142,0.303888236384991,0.2722791470355979,0.34380026575284983,0.9542174356722649,0.961559103437838,0.9469870281829369
143,0.12637771765174247,0.06753551701559543,0.981786941580756,0.06327122676932564,0.9617880316075716,0.03271157901620049
144,0.5234881984724057,0.3575091431393826,0.977140560096476,0.8275772499636349,0.9946739096438157,0.708547384901414
145,0.3779797313284611,0.6596103518387949,0.2648836492381851,0.16755939505572676,0.10663056496825984,0.39094693028095734
146,0.9328356823969729,0.9092469539243808,0.9576809409692525,0.1721271890806497,0.2530453628089795,0.1304213851013019
147,0.6741627963823026,0.5234500210844689,0.9467541383782134,0.7627285133201922,0.9650662306816168,0.6305302741293803
148,0.3557103260208556,0.45968796015188884,0.2900935516204477,0.7265500406171634,0.662910318633521,0.8037062415849202
149,0.5098961595913845,0.8347631443928257,0.36705024367401445,0.15346441947565542,0.09177388447793984,0.46816681477719946
150,0.6072463044346783,0.7000892420135584,0.5361449767411098,0.38288606403013187,0.3168609370408385,0.48366952470634883
151,0.38323559848223526,0.5392622154961908,0.29723543400713437,0.8467151198788352,0.7899138007607308,0.9123183348386567
152,,0.0,0.0,0.9712440128484615,0.9822356279603031,0.9604956766071068
153,0.7428805250845243,0.6776993499488884,0.8219342211165581,0.7796745836668485,0.8497043338568628,0.7203091461180043
154,0.20110883268778007,0.18566820922211,0.219350563286945,0.8852772258006819,0.8959772880762599,0.874829714955769
155,0.6800262714014896,0.6652890751542082,0.6954311621303942,0.8901568528985248,0.8969778020989793,0.8834388587992982
