,OverallAccuracy,Frequency_Weighted_Intersection_over_Union,MeanIntersectionOverUnion,MatthewsCorrelationCoefficient
227,0.8002090454101562,0.6674769176178026,0.6571992858843809,0.58438694
228,0.8564338684082031,0.7483376902901837,0.6541967588528828,0.57387495
229,0.8909339904785156,0.8166733309938735,0.6465354301784895,0.5215081
230,0.7027511596679688,0.49453319711157007,0.35946978583127376,0.106437616
231,0.5152587890625,0.35653719173570897,0.34638863685848986,0.28570843
232,0.397857666015625,0.2673270189239752,0.24694193575238524,0.15845117
233,0.8134498596191406,0.6858949364558669,0.6791164790837739,0.61666334
234,0.8668365478515625,0.8411058884003004,0.4573741615626984,0.059931006
235,0.7019081115722656,0.5452687945524878,0.5399016880809884,0.47456983
236,0.6396369934082031,0.4777837888947538,0.46095679271500606,0.2604696
237,0.6086044311523438,0.4520605862732857,0.4348092993262864,0.38882908
238,0.5784759521484375,0.40479295515331987,0.4068904813209979,0.3739823
239,0.9347152709960938,0.8793660889142949,0.6566698845569555,0.55206746
240,0.580352783203125,0.40434636079127434,0.40859586799026654,0.39835432
241,0.9382095336914062,0.8815473799337106,0.6504342486035155,0.5721091
242,0.10074996948242188,0.04322462161303725,0.052916439592256406,-0.006919281
243,0.5701713562011719,0.5641478213468083,0.28568143120216505,-0.07347709
244,0.9114227294921875,0.8490176140912808,0.45571136474609375,-0.038836405
245,0.8800048828125,0.8536964482627809,0.44000244140625,-0.05524075
246,0.7834739685058594,0.6503610154795503,0.5106271669569827,0.29638916
247,0.802093505859375,0.7465565649226181,0.518396326064324,0.39740574
248,0.6370162963867188,0.5446256404417348,0.4078186646116824,0.2578698
249,0.6089248657226562,0.5698368604155452,0.3112072571136602,-0.12964751
250,0.8785781860351562,0.8364147894296519,0.5072254912978471,0.19737619
251,0.8090400695800781,0.7295984095094811,0.5037025027632175,0.24451515
252,0.9764556884765625,0.9702469897480026,0.6026839998309823,0.44630855
253,0.7899894714355469,0.7752862601046218,0.39499473571777344,-0.067000374
254,0.4332695007324219,0.38820270027135295,0.21840722312352898,-0.2977283
255,0.7616310119628906,0.6143417363020351,0.6079607086420273,0.51292485
256,0.8179092407226562,0.7140515483258703,0.6563815928185065,0.617323
257,0.8956413269042969,0.8246861006753894,0.7724314466443375,0.76596445
258,0.4857940673828125,0.30774897214748376,0.3186448076644782,0.11696458
259,0.7306060791015625,0.6318150969204502,0.46750562883895047,0.22715497
260,0.898590087890625,0.829944271894481,0.7298245894690025,0.67462385
261,0.8527336120605469,0.7704326627082861,0.595690150174959,0.43522078
262,0.21833038330078125,0.17599313286989632,0.11793229901137943,0.09920409
263,0.06674957275390625,0.024251020068671504,0.03439607210314654,-0.09023223
264,0.7476959228515625,0.6673241461239168,0.5098852752530074,0.43768233
265,0.25360870361328125,0.1767999438781587,0.14176062388494026,-0.31927782
266,0.9231986999511719,0.8536077209993096,0.5497385989010048,0.38630033
267,0.8004722595214844,0.6833320196471694,0.6515718998158273,0.6286506
268,0.5923194885253906,0.42123015779491346,0.3933249176485715,0.1129637
269,0.4087486267089844,0.3473074242534331,0.22105114279348895,-0.19456685
270,0.855682373046875,0.7472379518567893,0.5436391849548639,0.36018804
271,0.3619728088378906,0.22063683680469182,0.22098003102184832,-0.13245077
272,0.716094970703125,0.5704003435151673,0.4759922033355921,0.24052927
273,0.7525405883789062,0.6056985649395821,0.6020499224223933,0.51730597
274,0.4115409851074219,0.35041442884033563,0.2255329803372978,-0.14162143
275,0.7750282287597656,0.661211321283011,0.5923871038626967,0.51776224
276,0.9449386596679688,0.9068553714008514,0.651051798858708,0.5003492
277,0.7856521606445312,0.7602771591568779,0.42300282499791675,0.11261445
278,0.13927078247070312,0.08585517247873119,0.0746753836743669,0.07349096
279,0.6880683898925781,0.5274428580257177,0.5242718917924527,0.5120552
280,0.42571258544921875,0.28699827712737336,0.26726620190889466,-0.07245276
281,0.9386978149414062,0.8934750053707405,0.7305293581366845,0.6561523
282,0.7176895141601562,0.5650167423642986,0.52214604691624,0.35421768
283,0.7090225219726562,0.5426847771438386,0.5227087091354055,0.38456592
284,0.7333450317382812,0.5985053061368754,0.559448652942991,0.46551588
285,0.7431068420410156,0.7302513522008667,0.3715534210205078,-0.0744771
286,0.871795654296875,0.7749211645059269,0.69437850728144,0.6279569
287,0.5716285705566406,0.42749190298037854,0.39006100070333816,0.22257271
288,0.6824417114257812,0.5167735619705043,0.5074514723443426,0.34609178
289,0.4479637145996094,0.37120433874987024,0.25549743192189917,-0.06490278
290,0.3954658508300781,0.3350186749930186,0.22113397138395172,-0.036854375
291,0.47037506103515625,0.33536054935924675,0.2930354002339715,-0.07415777
292,0.977874755859375,0.9573394755134359,0.4889373779296875,-0.004915898
293,0.12724685668945312,0.023536418883967524,0.06481523766740634,0.013232743
294,0.4999732971191406,0.35090544838615595,0.3313850013427021,0.26902556
295,0.7143974304199219,0.6192406157004537,0.37257182550631673,-0.102001406
296,0.9133415222167969,0.8479055554981652,0.6637390752666424,0.5523987
297,0.7753219604492188,0.6150691565903693,0.47561691830176905,0.2990635
298,0.8556442260742188,0.7807144704879879,0.6593145882446615,0.6092345
299,0.7169914245605469,0.5822180267225554,0.4715530552815332,0.22269738
300,0.8764457702636719,0.7807993731437246,0.6103114245554042,0.48840764
301,0.9568405151367188,0.9198440364600928,0.7488897712905757,0.6911914
302,0.9817390441894531,0.963811550886021,0.49086952209472656,0.0
303,0.6089363098144531,0.5019066678891515,0.3475601268589237,-0.050068907
304,0.6557769775390625,0.5534396291881193,0.4193375393998017,0.19918324
305,0.899658203125,0.8362429271531714,0.547518524867786,0.28207403
306,0.7809524536132812,0.7236096656691526,0.4896247450430948,0.32805708
307,0.9210624694824219,0.8559106084597635,0.7868498979858242,0.75407106
308,0.8203926086425781,0.7543907468911518,0.5834730741258525,0.5420214
309,0.6755599975585938,0.5036083158201037,0.465552940703082,0.26942977
310,0.7783622741699219,0.6713487266762945,0.450241227063658,0.10151669
311,0.6257133483886719,0.5334724476847598,0.36551643789998994,0.028381253
312,0.5911827087402344,0.49888175444919103,0.3579678908386117,0.09408705
313,0.7257041931152344,0.603306222437096,0.5414024140141127,0.48477218
314,0.7808837890625,0.7430385391147072,0.39684587260095017,-0.06804781
315,0.8052635192871094,0.7463380665166838,0.4879813423716308,0.24204212
316,0.9012603759765625,0.8429405336676595,0.5452247280178686,0.26990464
317,0.7212600708007812,0.5977182437301878,0.5289475176719286,0.42616388
318,0.7609291076660156,0.7135082973341741,0.4474889412052064,0.23141247
319,0.8966827392578125,0.8157260228663229,0.7504709205955862,0.7057703
320,0.7191009521484375,0.6535034264298019,0.4381324983469171,0.23705658
